"Id","ProductId","UserId","ProfileName","HelpfulnessNumerator","HelpfulnessDenominator","Prediction","Time","Summary","Text"
492346,"B001VNP0Y6","AEZRVY3CV52UZ","Corey Wright ""Democratus""",3,3,5,1320537600,"Just what I needed","I I I I got them in a very timely manner and they're all very large and green. There seems to be an inordinate amount of the seeds that come out a weird beige color, but it still tastes great and is a much better deal than any of the Indian markets in town. Cheers to Frontier."
343811,"B008J1HO4C","A18VZYSLOUO060","D. Simpson ""Frugal SOB""",2,2,5,1204329600,"Most excellent oatmeal","McCann's Steel Cut Oatmeal is the perfect breakfast for people in a hurry.  All you do is put 1/2 cup of oats in a little crockpot with 2 cups of boiling water before you go to bed, then an hour before I get up the crockpot starts on high on a timer so when I get out of the shower the oatmeal is ready to go.  Just mix in some blueberries, raisins, craisins, dates, nuts or whatever you want and eat."
347257,"B000FFIL60","A28Y1M7GRG0I9M","Real Comments ""Lin""",0,0,4,1318464000,"Quality Tea","I would recommend it. Quality pearls and a few make a strong, tasty tea. I have bought the Numi Loose Leaf ones which is cheaper, but it's not worth the saving. Buy this one and you will have quality, aromatic tea."
225529,"B002ZX1U9A","A245HC4T5J97WG","Logan DeAngelis",0,0,5,1306540800,"Great Coffee at a Great price","I have to admit, I first purchased these Hazelnut K-Cups because of the low price. I had to pick some up for the office, and the price was right. I was very pleasantly surprised with the coffee! Better flavor than some K-Cups that cost a lot more."
485488,"B001RVFERK","AVABPJCKE2MR5","spal",0,0,4,1314921600,"Popchips Jalapeno flavor","I bought a case of jalapeno chips as I love that flavor. This product is good but does not taste like the other jalapeno chips on the market (Lays, Ms.Vickie). I am now used to this flavor and eat it as it is healthy but wish it had that addicting jalapeno flavor that the other ones on the market have."
74981,"B0026RQTGE","A161Y9NAR43WCW","vertov",0,0,5,1314835200,"Our dog has fresh breath","No doggie breath for our dog.  People are always commenting that she doesn't have bad breath and her teeth look so clean.  A friend of ours who runs a veterinary and rescue clinic recommended them to us when our dog was very little, and we've sworn by them ever since."
204180,"B000F0FZE6","A1H35JZ9UUCVIF","carrera4",1,1,5,1330646400,"Great Pasta & Healthy!","I tried this pasta after viewing the Dr. Oz show.  I purchased a couple of boxes and tried it out on my husband.  He loved it!  On top of being healthy, it has wonderful flavor which is very important to me.  After trying this I purchased a dozen boxes.  I will continue to buy this product because it is fabulous.  Thanks DeBoles!"
454372,"B0019K981W","A13H71301WENPW","Patricia Fentriss ""PF""",11,13,1,1249344000,"Sugar bomb!!!  Same amount of sugar as a 12 oz. Coke!!!","Check out the sugar content before you buy!  27 grams/box - the same amount that's in a 12 oz. can of Coke!  This is ridiculously high for something that you think is going to be healthy!"
112235,"B0009JJB4S","A2HBOYLMGW2A5Y","lee",0,0,5,1345852800,"Pretty great for the price!","I drink Iron goddess oolong pretty often, it is actually my favorite tea and I have a yixing teapot dedicated to it.  The last batch of IG oolong I ordered did not satisfy as much as this has, and if memory serves it might have been more expensive.  When you order this tea you get a seal-able pouch that contains more than enough oolong to get you through a few months if you are a daily drinker like me.  The tea has a toasty flavor and is not particularly astringent.  The tea is very pleasant and you get a great deal of it for your money."
295251,"B000LQNK50","ATO0RF3HWQ3WW","Scott ""Scottso""",12,16,3,1236729600,"Its OK","Maybe it's due to my tendency to prefer noodles with a little more ""kick"", but I found this product to be very bland and not very flavorful.  Of all the noodles produced by Nong Shim, this is my least favorite. The flavor is extremely subtle (it almost has a chocolate taste!) and its almost like eating noodles plain.  If you like even mildly spicy noodles you will probably not like this at all and I would suggest going with any other flavor -- they are all good.<br /><br />This honestly is the very first Nong Shim noodle that I was disappointed with and I've tried a lot of them.  Of course with food its all subjective.  If you don't mind a very subtle flavor you might like this.  I would recommend finding a single packet to try before you buy a package of 20, unless your tastes lean toward the less flavorful side."
2544,"B000G7UDPY","A392JXFKJ5GG17","Donna G. Spencer",0,1,1,1266019200,"Bad tasting soup","This is one of the worse tasting soups I've ever eaten. I hated it, and now I have a full case.  It tastes bitter to me, and my husband wouldn't even try it.  Only my cat was trying to reach it on the counter!"
435949,"B0016COPSY","A6KL17KKN0A5L","K. Harper",14,20,4,1291593600,"I like it, but it's a product of Taiwan...","While I love the product, if you read the label carefully, you realize that this is product of Taiwan, not France. For those who try to avoid groceries from China/Taiwan/Hong Kong, thought I should let them know...."
179209,"B000V1FI5U","A2DQ0KE7NH5A08","Alice McDaniel ""Alice""",0,0,3,1339977600,"Okay but learning that I'm just not into ""flavored"" chips","I ordered these and was excited about them.  They were okay but 12 bags of them was too much for just myself.  The flavor was okay.  If you are crazy about parm and garlic, try them but be sure you have lots of friends to help share them!  Bags were decent size, bigger than I had imagined for only 5 oz."
243805,"B001LQNVOE","A3JJOUVMIIXLFQ","L  Willis",0,1,5,1335657600,"This is very good coffee.","We like our coffee strong but not bitter. This is a very good coffee. If you are using a Senseo, you will need to use your double pod holder with this. The pod is very thick. We will buy this again!!!!!"
11688,"B0032RPLSY","A2ELBN89JT1S4T","Maybelle",0,0,5,1351123200,"Delicious!","This ghee is delicious. A little goes a long way because of the intensity of flavor. It imparts wonderful aroma to vegetable dishes and does not burn easily like butter. highly recommended."
459662,"B000LKTJUG","A3PNHHF9XWHJGR","Kyle Smeby ""kyle78""",1,1,5,1233878400,"Cure for sore throats","For about 5 years, especially during the winter months, I used to come down with several very painful sore throats, many of which would escalate into strep throat or a sinus infection.  I haven't had one since I started drinking Kukicha tea 2 years ago.  It's isn't carried in many stores so I'm glad I can get it through Amazon now and that it's eligible for free shipping.<br /><br />I'm not a doctor and this isn't medical advice, but if you are having a problem with sore throats this is worth a shot."
525701,"B0015V1WMS","A3BTGGLX2B6Q6N","sponse",0,0,4,1290988800,"Gold coins were a great party favor","This product was perfect for a volunteer recognition event we hosted.  They were inexpensive but still made a good impression.  On each coin bag's label we printed a label that said ""Our volunteers are worth their weight in gold"".  Amazon also shipped the products promptly.<br />Highly recommend."
